id,year,title,event_type,authors
1175,1995,Generating Accurate and Diverse Members of a Neural-Network Ensemble,,"['Jude W. Shavlik', 'David W. Opitz']"
1176,1996,Statistical Mechanics of the Mixture of Experts,,"['Kukjin Kang', 'Jong-Hoon Oh']"
1177,1996,Microscopic Equations in Rough Energy Landscape for Neural Networks,,['K. Y. Michael Wong']
1178,1996,An Architectural Mechanism for Direction-tuned Cortical Simple Cells: The Role of Mutual Inhibition,,"['Silvio P. Sabatini', 'Fabio Solari', 'Giacomo M. Bisio']"
1179,1996,Maximum Likelihood Blind Source Separation: A Context-Sensitive Generalization of ICA,,"['Barak A. Pearlmutter', 'Lucas C. Parra']"
118,1988,Learning by Choice of Internal Representations,,"['Tal Grossman', 'Ronny Meir', 'Eytan Domany']"
1180,1996,Representing Face Images for Emotion Classification,,"['Garrison W. Cottrell', 'Curtis Padgett']"
1181,1996,Early Brain Damage,,"['Volker Tresp', 'Ralph Neuneier', 'Hans-Georg Zimmermann']"
1182,1996,Balancing Between Bagging and Bumping,,['Tom Heskes']
1183,1996,Adaptive On-line Learning in Changing Environments,,"['Noboru Murata', 'Shun-ichi Amari', 'Klaus-Robert M?ller', 'Andreas Ziehe']"
1184,1996,Radial Basis Function Networks and Complexity Regularization in Function Learning,,"['Adam Krzyzak', 'Tam?s Linder']"
1185,1996,Learning Decision Theoretic Utilities through Reinforcement Learning,,"['Terrence J. Sejnowski', 'Magnus Stensmo']"
1186,1996,Text-Based Information Retrieval Using Exponentiated Gradient Descent,,"['Andrew G. Barto', 'Ron Papka', 'James P. Callan']"
1187,1996,"Support Vector Method for Function Approximation, Regression Estimation and Signal Processing",,"['Vladimir Vapnik', 'Alex J. Smola', 'Steven E. Golowich']"
1188,1996,Spatiotemporal Coupling and Scaling of Natural Images and Human Visual Sensitivities,,['Dawei W. Dong']
1189,1996,Second-order Learning Algorithm with Squared Penalty Term,,"['Ryohei Nakano', 'Kazumi Saito']"
119,1988,Skeletonization: A Technique for Trimming the Fat from a Network via Relevance Assessment,,"['Paul Smolensky', 'Michael C. Mozer']"
1190,1996,Source Separation and Density Estimation by Faithful Equivariant SOM,,"['Jack D. Cowan', 'Juan K. Lin', 'David G. Grier']"
1191,1996,Regression with Input-Dependent Noise: A Bayesian Treatment,,"['Christopher M. Bishop', 'Cazhaow S. Quazaz']"
1192,1996,"Bangs, Clicks, Snaps, Thuds and Whacks: An Architecture for Acoustic Transient Processing",,"['Fernando J. Pineda', 'Gert Cauwenberghs', 'R. Timothy Edwards']"
1193,1996,A New Approach to Hybrid HMM/ANN Speech Recognition using Mutual Information Neural Networks,,"['Gerhard Rigoll', 'Christoph Neukirchen']"
1194,1996,An Apobayesian Relative of Winnow,,"['Nick Littlestone', 'Chris Mesterharm']"
1195,1996,Hebb Learning of Features based on their Information Content,,"['Ferdinand Peper', 'Hideki Noda']"
1196,1996,Competition Among Networks Improves Committee Performance,,"['Paul W. Munro', 'Bambang Parmanto']"
1197,1996,Computing with Infinite Networks,,['Christopher K. I. Williams']
1198,1996,ARC-LH: A New Adaptive Resampling Algorithm for Improving ANN Classifiers,,"['Kurt Hornik', 'Friedrich Leisch']"
1199,1996,Neural Network Models of Chemotaxis in the Nematode Caenorhabditis Elegans,,"['Shawn R. Lockery', 'Thomas C. Ferr?e', 'Ben A. Marcotte']"
12,1987,Using Neural Networks to Improve Cochlear Implant Speech Perception,,['Manoel Fernando Tenorio']
120,1988,A Model of Neural Oscillator for a Unified Submodule,,"['Alexandr B. Kirillov', 'G. N. Borisyuk', 'R. M. Borisyuk', 'Ye. I. Kovalenko', 'V. I. Makarenko', 'V. A. Chulaevsky', 'V. I. Kryukov']"
1200,1996,Visual Cortex Circuitry and Orientation Tuning,,"['Jack D. Cowan', 'Alexander Dimitrov', 'Trevor Mundel']"
1201,1996,Combining Neural Network Regression Estimates with Regularized Linear Weights,,"['Christopher J. Merz', 'Michael J. Pazzani']"
1202,1996,"Dual Kalman Filtering Methods for Nonlinear Prediction, Smoothing and Estimation",,"['Eric A. Wan', 'Alex T. Nelson']"
1203,1996,Time Series Prediction using Mixtures of Experts,,"['Assaf J. Zeevi', 'Ron Meir', 'Robert J. Adler']"
1204,1996,For Valid Generalization the Size of the Weights is More Important than the Size of the Network,,['Peter L. Bartlett']
1205,1996,An Adaptive WTA using Floating Gate Technology,,"['Christof Koch', 'Bradley A. Minch', 'Paul E. Hasler', 'W. Fritz Kruger']"
